sl_no,Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,State
646,4244,Barabanki,Barabanki,Green Chilli,Green Chilly,FAQ,4100.0,4200.0,4160.0,09 Nov 2024,Uttar Pradesh
647,15954,Hardoi,Hardoi,Gur(Jaggery),Yellow,FAQ,4270.0,4330.0,4300.0,20 Sep 2024,Uttar Pradesh
648,18990,Kanpur,Kanpur(Grain),Apple,Delicious,Medium,7350.0,7550.0,7450.0,07 Dec 2024,Uttar Pradesh
649,303,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2820.0,2866.0,2840.0,19 Nov 2024,Uttar Pradesh
650,9665,Auraiya,Achalda,Cabbage,Cabbage,FAQ,1500.0,1720.0,1620.0,12 Jul 2025,Uttar Pradesh
651,10728,Auraiya,Dibiapur,Green Chilli,Green Chilly,FAQ,2800.0,3000.0,2900.0,03 Dec 2024,Uttar Pradesh
652,20009,Fatehpur,Bindki,Green Chilli,Green Chilly,FAQ,3000.0,4800.0,4000.0,29 Oct 2024,Uttar Pradesh
653,2969,Amroha,Hasanpur,Mango,Badami,Medium,1410.0,1500.0,1450.0,18 Jun 2025,Uttar Pradesh
654,40478,Chandauli,Chandoli,Green Chilli,Green Chilly,FAQ,1600.0,1700.0,1650.0,18 Dec 2024,Uttar Pradesh
655,33221,Sitapur,Viswan,Wheat,Dara,FAQ,2530.0,2570.0,2550.0,28 Sep 2024,Uttar Pradesh
656,21568,Meerut,Sardhana,Gur(Jaggery),Yellow,FAQ,3300.0,3500.0,3400.0,20 Oct 2024,Uttar Pradesh
657,9362,Fatehpur,Fatehpur,Wheat,Dara,FAQ,2425.0,2570.0,2500.0,21 Jul 2025,Uttar Pradesh
658,16300,Bahraich,Bahraich,Apple,Kasmir/Shimla - II,Medium,11750.0,12300.0,12000.0,28 Jul 2025,Uttar Pradesh
659,5351,Etawah,Etawah,Banana,Banana - Ripe,Medium,2700.0,3000.0,2900.0,03 Jul 2025,Uttar Pradesh
660,656,Auraiya,Auraiya,Green Chilli,Green Chilly,FAQ,3400.0,3650.0,3550.0,21 Apr 2025,Uttar Pradesh
661,16014,Ballia,Chitwadagaon,Garlic,Average,FAQ,6400.0,6480.0,6440.0,25 Apr 2025,Uttar Pradesh
662,24018,Kanpur Dehat,Pukharayan,Ginger(Green),Green Ginger,FAQ,5980.0,6020.0,6000.0,26 Nov 2024,Uttar Pradesh
663,44373,Mathura,Mathura,Wheat,Dara,FAQ,2520.0,2575.0,2540.0,31 Jul 2025,Uttar Pradesh
664,5600,Jaunpur,Mugrabaadshahpur,Cabbage,Cabbage,FAQ,880.0,1080.0,980.0,22 Apr 2025,Uttar Pradesh
665,27770,Ballia,Vilthararoad,Green Chilli,Green Chilly,FAQ,1700.0,1800.0,1750.0,31 Jan 2025,Uttar Pradesh
666,41134,Gorakhpur,Gorakhpur,Brinjal,Round/Long,FAQ,1250.0,1350.0,1300.0,11 Feb 2025,Uttar Pradesh
667,3826,Gautam Budh Nagar,Dankaur,Cauliflower,Cauliflower,FAQ,3400.0,3620.0,3500.0,20 Aug 2024,Uttar Pradesh
668,20545,Mainpuri,Bewar,Wheat,Dara,FAQ,2450.0,2550.0,2500.0,31 Mar 2025,Uttar Pradesh
669,15626,Jhansi,Mauranipur,Gur(Jaggery),Yellow,FAQ,4450.0,4800.0,4650.0,26 Oct 2024,Uttar Pradesh
670,17073,Khiri (Lakhimpur),Tikonia,Bhindi(Ladies Finger),Bhindi,FAQ,2160.0,2250.0,2190.0,02 Dec 2024,Uttar Pradesh
671,15842,Shahjahanpur,Tilhar,Gur(Jaggery),Pathari,FAQ,4000.0,4100.0,4050.0,07 Mar 2025,Uttar Pradesh
672,32,Lalitpur,Lalitpur,Soyabean,Yellow,FAQ,4120.0,4300.0,4260.0,25 Sep 2024,Uttar Pradesh
673,11666,Maharajganj,Nautnava,Apple,Delicious,Medium,8300.0,8500.0,8400.0,19 Jun 2025,Uttar Pradesh
674,36132,Badaun,Shahaswan,Brinjal,Brinjal,FAQ,900.0,1100.0,1000.0,23 Apr 2025,Uttar Pradesh
675,8701,Saharanpur,Chutmalpur,Green Chilli,Green Chilly,FAQ,1800.0,2000.0,1900.0,23 Jan 2025,Uttar Pradesh
676,34694,Shamli,Thanabhavan,Green Chilli,Green Chilly,FAQ,2300.0,2700.0,2500.0,07 Feb 2025,Uttar Pradesh
677,23280,Barabanki,Safdarganj,Gur(Jaggery),Yellow,FAQ,4200.0,4300.0,4250.0,14 Jan 2025,Uttar Pradesh
678,1755,Balrampur,Balrampur,Lentil (Masur)(Whole),Masur Dal,FAQ,7050.0,7260.0,7150.0,25 Feb 2025,Uttar Pradesh
679,19292,Khiri (Lakhimpur),Tikonia,Apple,Delicious,Medium,8340.0,8590.0,8460.0,19 Apr 2025,Uttar Pradesh
680,12120,Gorakhpur,Gorakhpur,Green Chilli,Green Chilly,FAQ,3750.0,3850.0,3800.0,08 Oct 2024,Uttar Pradesh
681,21338,Kanpur,Varipaal,Banana,Banana - Ripe,Medium,1500.0,1800.0,1600.0,02 Feb 2025,Uttar Pradesh
682,25049,Shamli,Shamli,Gur(Jaggery),Yellow,FAQ,4530.0,4600.0,4570.0,21 Aug 2024,Uttar Pradesh
683,7464,Jaunpur,Jaunpur,Carrot,Carrot,FAQ,1470.0,1530.0,1500.0,09 Jan 2025,Uttar Pradesh
684,250,Aligarh,Atrauli,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2200.0,2300.0,2250.0,12 Mar 2025,Uttar Pradesh
685,5550,Bulandshahar,Gulavati,Brinjal,Other,FAQ,700.0,900.0,800.0,20 Mar 2025,Uttar Pradesh
686,6486,Bareilly,Bareilly,Wheat,Dara,FAQ,2850.0,3000.0,2925.0,30 Jan 2025,Uttar Pradesh
687,15914,Jalaun (Orai),Orai,Mustard,Sarson(Black),FAQ,5800.0,5900.0,5850.0,21 Dec 2024,Uttar Pradesh
688,18941,Firozabad,Tundla,Cabbage,Cabbage,FAQ,585.0,625.0,600.0,24 Feb 2025,Uttar Pradesh
689,10321,Etawah,Etawah,Gur(Jaggery),Red,FAQ,3950.0,4250.0,4150.0,06 Sep 2024,Uttar Pradesh
690,4821,Banda,Banda,Apple,Kasmir/Shimla - II,Medium,6900.0,7100.0,7000.0,01 Dec 2024,Uttar Pradesh
691,37070,Gonda,Nawabganj,Green Chilli,Green Chilly,FAQ,2260.0,2350.0,2310.0,26 Jun 2025,Uttar Pradesh
692,20353,Gautam Budh Nagar,Dankaur,Wheat,Dara,FAQ,2745.0,2955.0,2840.0,07 Feb 2025,Uttar Pradesh
693,37963,Unnao,Purwa,Wheat,Dara,FAQ,2575.0,2615.0,2590.0,05 Sep 2024,Uttar Pradesh
694,23130,Shahjahanpur,Tilhar,Banana,Banana - Ripe,Medium,2740.0,2840.0,2790.0,05 May 2025,Uttar Pradesh
695,3472,Etawah,Bharthna,Mustard,Lohi Black,FAQ,6950.0,7050.0,7000.0,08 Aug 2025,Uttar Pradesh
696,22475,Jaunpur,Mugrabaadshahpur,Gur(Jaggery),Red,FAQ,4545.0,4745.0,4645.0,18 Jun 2025,Uttar Pradesh
697,2157,Saharanpur,Saharanpur,Arhar (Tur/Red Gram)(Whole),Desi(Whole),FAQ,10350.0,10750.0,10550.0,28 Nov 2024,Uttar Pradesh
698,16418,Kannuj,Kannauj,Brinjal,Round,FAQ,1600.0,1700.0,1650.0,12 Dec 2024,Uttar Pradesh
699,29817,Raebarelli,Raibareilly,Apple,Kasmir/Shimla - II,Medium,6960.0,7025.0,7000.0,29 Oct 2024,Uttar Pradesh
700,15926,Mirzapur,Mirzapur,Ginger(Green),Green Ginger,FAQ,4625.0,4715.0,4665.0,30 Dec 2024,Uttar Pradesh
701,3140,Purba Bardhaman,Burdwan,Green Chilli,Green Chilly,FAQ,3000.0,3200.0,3000.0,12 Jan 2025,West Bengal
702,12797,Murshidabad,Lalbagh,Brinjal,Other,FAQ,3250.0,3360.0,3300.0,29 May 2025,West Bengal
703,2732,Jalpaiguri,Belacoba,Brinjal,Other,FAQ,2300.0,2500.0,2400.0,12 Apr 2025,West Bengal
704,7433,Jalpaiguri,Jalpaiguri Sadar,Green Chilli,Green Chilly,FAQ,2000.0,2200.0,2100.0,16 Apr 2025,West Bengal
705,9971,Coochbehar,Mekhliganj,Green Chilli,Green Chilly,FAQ,3000.0,3500.0,3250.0,17 May 2025,West Bengal
706,2360,Paschim Bardhaman,Durgapur,Wheat,Kalyan,FAQ,2700.0,3000.0,2850.0,21 Jul 2025,West Bengal
707,7015,Coochbehar,Haldibari,Green Chilli,Green Chilly,FAQ,7600.0,8000.0,7700.0,04 Sep 2024,West Bengal
708,5827,Medinipur(W),Garbeta(Medinipur),Green Chilli,Green Chilly,FAQ,4700.0,5000.0,4800.0,18 May 2025,West Bengal
709,3895,Purba Bardhaman,Katwa,Mustard,Yellow (Black),FAQ,5900.0,6100.0,6000.0,09 Jun 2025,West Bengal
710,837,Jalpaiguri,Belacoba,Cabbage,Cabbage,FAQ,2400.0,2600.0,2500.0,05 Dec 2024,West Bengal
711,10795,Hooghly,Kalipur,Brinjal,Brinjal,FAQ,3600.0,4000.0,3800.0,25 Apr 2025,West Bengal
712,4486,Nadia,Nadia,Mustard,Yellow (Black),FAQ,5900.0,6000.0,5900.0,06 Dec 2024,West Bengal
713,4967,Birbhum,Rampurhat,Mustard,Mustard,FAQ,6500.0,6700.0,6600.0,27 Sep 2024,West Bengal
714,1195,Darjeeling,Darjeeling,Cabbage,Other,FAQ,3200.0,3400.0,3300.0,05 Dec 2024,West Bengal
715,3906,Purba Bardhaman,Katwa,Mustard,Yellow (Black),FAQ,5900.0,6100.0,6000.0,12 May 2025,West Bengal
716,4982,Birbhum,Rampurhat,Mustard,Mustard,FAQ,6600.0,6700.0,6650.0,28 Apr 2025,West Bengal
717,3841,Birbhum,Rampurhat,Wheat,Sonalika,FAQ,2400.0,2600.0,2500.0,23 Aug 2024,West Bengal
718,2738,Birbhum,Bolpur,Green Chilli,Green Chilly,FAQ,3300.0,3500.0,3400.0,19 Dec 2024,West Bengal
719,4013,Uttar Dinajpur,Kaliaganj,Wheat,Local,FAQ,2500.0,2700.0,2600.0,07 May 2025,West Bengal
720,10300,Jalpaiguri,Jalpaiguri Sadar,Brinjal,Round/Long,FAQ,2900.0,3100.0,3000.0,18 Jun 2025,West Bengal
721,2178,Nadia,Bethuadahari,Green Chilli,Green Chilly,FAQ,4300.0,4500.0,4400.0,25 Jun 2025,West Bengal
722,3106,Murshidabad,Jiaganj,Mustard,Yellow (Black),FAQ,6300.0,6400.0,6350.0,30 Jul 2025,West Bengal
723,10613,Jhargram,Jhargram,Brinjal,Round/Long,FAQ,5200.0,5600.0,5400.0,05 Aug 2025,West Bengal
724,1206,Bankura,Bishnupur(Bankura),Mustard,Mustard,FAQ,5600.0,5900.0,5800.0,30 Oct 2024,West Bengal
725,2092,Alipurduar,Falakata,Cabbage,Other,FAQ,600.0,800.0,700.0,04 May 2025,West Bengal
726,1585,Murshidabad,Kandi,Wheat,Other,FAQ,2300.0,2400.0,2350.0,07 Sep 2024,West Bengal
727,2164,Nadia,Kalyani,Cauliflower,Cauliflower,FAQ,1200.0,1400.0,1300.0,29 Dec 2024,West Bengal
728,4975,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,800.0,1000.0,1000.0,20 Mar 2025,West Bengal
729,8759,Nadia,Karimpur,Green Chilli,Green Chilly,FAQ,4300.0,4500.0,4400.0,24 May 2025,West Bengal
730,870,Kolkata,Mechua,Apple,Apple,Small,9000.0,12000.0,10000.0,08 Jun 2025,West Bengal
731,1296,Coochbehar,Baxirhat,Green Chilli,Other,FAQ,3500.0,3700.0,3600.0,12 May 2025,West Bengal
732,10062,Jalpaiguri,Jalpaiguri Sadar,Brinjal,Other,FAQ,2900.0,3100.0,3000.0,08 Apr 2025,West Bengal
733,8258,Medinipur(W),Garbeta(Medinipur),Brinjal,Brinjal,FAQ,4600.0,5200.0,4800.0,19 Sep 2024,West Bengal
734,9458,Coochbehar,Mathabhanga,Green Chilli,Green Chilly,FAQ,4200.0,4400.0,4300.0,23 Mar 2025,West Bengal
735,1211,Dakshin Dinajpur,Gangarampur(Dakshin Dinajpur),Cauliflower,Other,FAQ,1000.0,1300.0,1200.0,28 Jan 2025,West Bengal
736,386,Dakshin Dinajpur,Balurghat,Cabbage,Other,FAQ,1900.0,2100.0,2000.0,28 May 2025,West Bengal
737,6652,North 24 Parganas,Habra,Green Chilli,Other,FAQ,6000.0,6200.0,6200.0,12 Mar 2025,West Bengal
738,547,Bankura,Bankura Sadar,Mustard,Mustard,FAQ,5250.0,5700.0,5650.0,03 Oct 2024,West Bengal
739,8013,Purba Bardhaman,Kalna,Green Chilli,Other,FAQ,3000.0,3200.0,3100.0,16 Feb 2025,West Bengal
740,4914,Birbhum,Rampurhat,Mustard,Mustard,FAQ,6400.0,6600.0,6500.0,23 Mar 2025,West Bengal
741,366,Puruliya,Balarampur,Bhindi(Ladies Finger),Other,FAQ,5200.0,6000.0,5500.0,06 Jan 2025,West Bengal
742,15557,Coochbehar,Pundibari,Brinjal,Other,FAQ,1800.0,2200.0,1900.0,30 May 2025,West Bengal
743,13258,Coochbehar,Mathabhanga,Brinjal,Brinjal,FAQ,3300.0,3500.0,3400.0,22 Aug 2024,West Bengal
744,9289,Coochbehar,Mathabhanga,Green Chilli,Green Chilly,FAQ,3450.0,3600.0,3500.0,28 Apr 2025,West Bengal
745,17,Paschim Bardhaman,Asansol,Arhar (Tur/Red Gram)(Whole),Other,FAQ,9800.0,10200.0,9900.0,24 Aug 2024,West Bengal
746,3776,Darjeeling,Karsiyang(Matigara),Cabbage,Other,FAQ,2300.0,2500.0,2400.0,10 Aug 2025,West Bengal
747,18255,Coochbehar,Toofanganj,Brinjal,Brinjal,FAQ,3500.0,3700.0,3600.0,23 Aug 2024,West Bengal
748,55,Alipurduar,Alipurduar,Cabbage,Other,FAQ,300.0,400.0,350.0,25 Feb 2025,West Bengal
749,1316,Jalpaiguri,Dhupguri,Cabbage,Cabbage,FAQ,300.0,450.0,400.0,12 Apr 2025,West Bengal
750,3264,Uttar Dinajpur,Raiganj,Wheat,Local,FAQ,2450.0,2550.0,2500.0,09 Apr 2025,West Bengal
751,9617,Medinipur(W),Medinipur(West),Green Chilli,Green Chilly,FAQ,4200.0,4500.0,4400.0,14 Jun 2025,West Bengal
752,13319,Medinipur(W),Medinipur(West),Brinjal,Brinjal,FAQ,1800.0,2100.0,2000.0,08 Mar 2025,West Bengal
753,4288,Nadia,Chakdah,Brinjal,Other,FAQ,3200.0,3300.0,3250.0,26 Mar 2025,West Bengal
754,13346,Medinipur(W),Medinipur(West),Brinjal,Brinjal,FAQ,2300.0,2500.0,2400.0,10 Jan 2025,West Bengal
755,1786,Paschim Bardhaman,Durgapur,Mustard,Other,FAQ,6750.0,7000.0,6850.0,04 Aug 2025,West Bengal
756,10132,Purba Bardhaman,Memari,Green Chilli,Green Chilly,FAQ,2600.0,3000.0,2700.0,05 May 2025,West Bengal
757,2773,Kolkata,Sealdah Koley Market,Bhindi(Ladies Finger),Other,FAQ,3000.0,4000.0,3000.0,10 Apr 2025,West Bengal
758,316,Darjeeling,Darjeeling,Ginger(Green),Other,FAQ,9000.0,11000.0,10000.0,21 Aug 2024,West Bengal
759,2364,Hooghly,Pandua,Bhindi(Ladies Finger),Other,FAQ,3800.0,4000.0,3800.0,25 Jul 2025,West Bengal
760,12796,Kolkata,Sealdah Koley Market,Green Chilli,Other,FAQ,6000.0,8000.0,7000.0,30 Jul 2025,West Bengal
761,11437,Nadia,Kalyani,Brinjal,Brinjal,FAQ,3000.0,3200.0,3100.0,12 Mar 2025,West Bengal
762,13400,Medinipur(W),Medinipur(West),Brinjal,Brinjal,FAQ,2800.0,3200.0,3000.0,10 Apr 2025,West Bengal
763,3009,Paschim Bardhaman,Durgapur,Wheat,Kalyan,FAQ,2800.0,3200.0,3050.0,05 Apr 2025,West Bengal
764,7806,Jalpaiguri,Jalpaiguri Sadar,Green Chilli,Other,FAQ,3400.0,3600.0,3500.0,29 Jan 2025,West Bengal
765,2732,Coochbehar,Haldibari,Cabbage,Cabbage,FAQ,600.0,800.0,700.0,02 Apr 2025,West Bengal
766,1604,Jalpaiguri,Jalpaiguri Sadar,Cauliflower,Local,FAQ,400.0,500.0,450.0,10 Feb 2025,West Bengal
767,3756,Bankura,Bishnupur(Bankura),Brinjal,Brinjal,FAQ,4000.0,5000.0,4500.0,21 Aug 2024,West Bengal
768,797,Kalimpong,Kalimpong,Carrot,Other,FAQ,5500.0,5700.0,5600.0,29 Apr 2025,West Bengal
769,6433,North 24 Parganas,Habra,Green Chilli,Other,FAQ,2500.0,3000.0,3000.0,21 Nov 2024,West Bengal
770,640,Hooghly,Champadanga,Bhindi(Ladies Finger),Bhindi,FAQ,3200.0,3400.0,3300.0,28 Aug 2024,West Bengal
771,4364,Nadia,Nadia,Mustard,Yellow (Black),FAQ,5100.0,5300.0,5100.0,06 Sep 2024,West Bengal
772,729,Kalimpong,Kalimpong,Carrot,Other,FAQ,5500.0,5700.0,5600.0,11 Jan 2025,West Bengal
773,7378,Alipurduar,Falakata,Brinjal,Other,FAQ,2500.0,2800.0,2600.0,11 Apr 2025,West Bengal
774,6894,Coochbehar,Haldibari,Green Chilli,Green Chilly,FAQ,3550.0,3700.0,3600.0,23 Jun 2025,West Bengal
775,4735,Coochbehar,Dinhata,Green Chilli,Green Chilly,FAQ,3500.0,3700.0,3600.0,09 Dec 2024,West Bengal
776,1860,Bankura,Bishnupur(Bankura),Wheat,Sonalika,Non-FAQ,2800.0,3200.0,3000.0,08 Aug 2025,West Bengal
777,4972,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,800.0,1000.0,1000.0,19 Feb 2025,West Bengal
778,13448,Darjeeling,Siliguri,Green Chilli,Green Chilly,FAQ,5500.0,6000.0,5800.0,06 Nov 2024,West Bengal
779,3038,Birbhum,Sainthia,Wheat,Sonalika,FAQ,2500.0,2600.0,2550.0,14 Aug 2025,West Bengal
780,73,Paschim Bardhaman,Asansol,Mustard,Other,FAQ,5860.0,6200.0,6050.0,29 Nov 2024,West Bengal
781,1633,Paschim Bardhaman,Durgapur,Mustard,Other,FAQ,5965.0,6200.0,6050.0,19 Mar 2025,West Bengal
782,376,Darjeeling,Siliguri,Ginger(Green),Green Ginger,FAQ,3300.0,3500.0,3400.0,10 May 2025,West Bengal
783,581,Coochbehar,Coochbehar,Cauliflower,Other,FAQ,3500.0,4000.0,3700.0,28 Nov 2024,West Bengal
784,2371,Purba Bardhaman,Guskara,Mustard,Yellow (Black),FAQ,5700.0,5900.0,5800.0,14 Apr 2025,West Bengal
785,3121,Coochbehar,Pundibari,Cauliflower,Other,FAQ,1900.0,2000.0,1980.0,19 Apr 2025,West Bengal
786,509,Hooghly,Champadanga,Bhindi(Ladies Finger),Bhindi,FAQ,1200.0,1300.0,1300.0,04 Jun 2025,West Bengal
787,4783,Birbhum,Rampurhat,Mustard,Mustard,FAQ,6000.0,6200.0,6100.0,22 Jan 2025,West Bengal
788,521,Kolkata,Bara Bazar (Posta Bazar),Garlic,Other,FAQ,22000.0,23000.0,22500.0,21 Aug 2024,West Bengal
789,254,Birbhum,Bolpur,Wheat,Sonalika,FAQ,2500.0,2600.0,2550.0,28 Jun 2025,West Bengal
790,1151,Hooghly,Sheoraphuly,Garlic,Other,FAQ,25000.0,26000.0,25500.0,09 Jan 2025,West Bengal
791,5895,Jalpaiguri,Dhupguri,Brinjal,Round/Long,FAQ,4000.0,4200.0,4100.0,13 Nov 2024,West Bengal
792,4735,Hooghly,Champadanga,Brinjal,Brinjal,FAQ,4600.0,4800.0,4700.0,02 Sep 2024,West Bengal
793,5821,Coochbehar,Toofanganj,Cabbage,Cabbage,FAQ,1400.0,1600.0,1500.0,29 Dec 2024,West Bengal
794,2393,Purba Bardhaman,Guskara,Mustard,Yellow (Black),FAQ,5700.0,5900.0,5800.0,21 Mar 2025,West Bengal
795,13826,Coochbehar,Mekhliganj,Brinjal,Other,FAQ,2800.0,3200.0,3000.0,08 Jul 2025,West Bengal
796,415,Dakshin Dinajpur,Gangarampur(Dakshin Dinajpur),Carrot,Other,FAQ,5500.0,6500.0,6000.0,15 Nov 2024,West Bengal
797,8492,Nadia,Kalyani,Green Chilli,Green Chilly,FAQ,7000.0,8000.0,7500.0,19 Sep 2024,West Bengal
798,4942,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,800.0,1000.0,1000.0,08 Feb 2025,West Bengal
799,3105,Birbhum,Sainthia,Wheat,Sonalika,FAQ,2350.0,2550.0,2450.0,18 Jan 2025,West Bengal
800,27,Alipurduar,Alipurduar,Cabbage,Other,FAQ,200.0,300.0,250.0,18 Feb 2025,West Bengal
